,RV_actual,RV_forecast_best,RV_forecast_ensemble
2017-10-26,3.184337336612633e-05,9.532023634287652e-05,7.542540880072757e-05
2017-10-27,1.3004154011015712e-05,7.837499135209422e-05,6.682275694695139e-05
2017-10-30,6.7903615028324e-06,6.173858076815751e-05,5.7920205854306394e-05
2017-10-31,1.820049398903132e-05,5.605838623934229e-05,5.462309317188056e-05
2017-11-01,1.5753116194124095e-05,6.690680094485392e-05,6.0046393859522464e-05
2017-11-02,1.4345849209182038e-05,6.534352047570976e-05,5.8891291879315994e-05
2017-11-03,1.6664049101585172e-05,6.447952187223419e-05,5.8101207020588204e-05
2017-11-06,2.0568510586832976e-05,6.641575784819787e-05,5.932815757284939e-05
2017-11-07,2.0850618901290655e-05,6.978049851754236e-05,6.146249578164797e-05
2017-11-08,5.7735816374290965e-05,7.005108140540969e-05,6.16152619511412e-05
2017-11-09,2.7926687941847677e-05,0.00010280368185472508,8.062493485509205e-05
2017-11-10,5.004595752272141e-05,7.587907430209864e-05,6.64417103856699e-05
2017-11-13,3.903929222444261e-05,9.540035791207799e-05,7.833435687422665e-05
2017-11-14,4.5878432150228624e-05,8.520038532149381e-05,7.349620967413645e-05
2017-11-15,2.506530576580597e-05,9.119219711254822e-05,7.769734504100648e-05
2017-11-16,3.953010506062659e-05,7.316465267981661e-05,6.768778251846514e-05
2017-11-17,3.327379855251279e-05,8.632820814820006e-05,7.511340991793942e-05
2017-11-20,2.805111753702301e-05,8.09753903871078e-05,7.2239495197685e-05
2017-11-21,2.505871367185381e-05,7.647304999481239e-05,6.981393661721601e-05
2017-11-22,3.395275055396958e-05,7.43473966553812e-05,6.82624031198865e-05
2017-11-23,3.14798017432173e-05,8.249161518146601e-05,7.287955689807367e-05
2017-11-24,4.747955856335547e-05,8.057012836102882e-05,7.194592894551893e-05
2017-11-27,4.4800234725766e-05,9.449398094561149e-05,7.961812843150216e-05
2017-11-28,3.9476991101029737e-05,9.185490146733451e-05,7.868499317297009e-05
2017-11-29,4.897945947700051e-05,8.706774509753929e-05,7.659015508872951e-05
2017-11-30,0.0001159434049867,9.558164591305429e-05,8.212253605657518e-05
2017-12-01,5.697150808102123e-05,0.00015531118033027411,0.0001183892821549178
2017-12-04,4.531089158860107e-05,0.00010179803925428942,8.989982565051245e-05
2017-12-05,5.155824220993519e-05,9.16208404654078e-05,8.477206096176846e-05
2017-12-06,1.9304464642224314e-05,9.732094201860248e-05,8.831345454999395e-05
2017-12-07,1.992226216631183e-05,6.883924650425449e-05,7.202112693350609e-05
2017-12-08,1.3726517548962109e-05,7.11329287838132e-05,7.131293888429213e-05
2017-12-11,2.8914634601403132e-05,6.609252633204359e-05,6.739223344489019e-05
2017-12-12,1.9844920167331977e-05,8.01879278083915e-05,7.460410929285835e-05
2017-12-13,3.9628438642807265e-05,7.2481492040313e-05,6.956665123925498e-05
2017-12-14,2.775417252495737e-05,8.988774674649135e-05,7.93702946407462e-05
2017-12-15,1.987959039147791e-05,7.890379563769384e-05,7.324442857773053e-05
2017-12-18,1.4416623796899816e-05,7.161462200851175e-05,6.95414123442734e-05
2017-12-19,4.2580632868133904e-05,6.653337338429249e-05,6.604501477665891e-05
2017-12-20,1.8851221587761164e-05,9.190356345684958e-05,8.011184158970596e-05
2017-12-21,1.583547414133612e-05,7.077987142949648e-05,6.830694155586456e-05
2017-12-22,2.0012229631968233e-05,6.82540004216173e-05,6.669520874917411e-05
2017-12-27,1.422436328994864e-05,7.181182497374509e-05,6.82387785101311e-05
2017-12-28,9.800507353187277e-06,6.652963319191607e-05,6.508728361512987e-05
2017-12-29,4.4088400448724014e-05,6.308718600559743e-05,6.210426014950155e-05
2018-01-02,2.1585337752521488e-05,9.332654904903717e-05,7.884010201315095e-05
2018-01-03,2.2557050002693857e-05,7.284921184552515e-05,6.760161984276179e-05
2018-01-04,3.082188233759079e-05,7.332905845628064e-05,6.76465707328141e-05
2018-01-05,1.5857054067664033e-05,7.988952936801838e-05,7.028860558341648e-05
2018-01-08,1.646757113021791e-05,6.582806386413302e-05,6.191523979264885e-05
2018-01-09,3.599098669368535e-05,6.680544941989193e-05,6.206401768034546e-05
2018-01-10,2.734759997759486e-05,8.387069770233149e-05,7.115565797661667e-05
2018-01-11,2.12509532689162e-05,7.617539318797985e-05,6.709247316741238e-05
2018-01-12,1.3719462074169577e-05,7.09223859614692e-05,6.422398009656266e-05
2018-01-15,2.372933141160141e-05,6.39893222776332e-05,6.039475409493505e-05
2018-01-16,2.6127733014874855e-05,7.307684826121316e-05,6.53375430543941e-05
2018-01-17,2.219378051039422e-05,7.54291615457121e-05,6.635980050336e-05
2018-01-18,3.390961456866584e-05,7.17169685334283e-05,6.425848000924145e-05
2018-01-19,1.0901064428177633e-05,8.205785254897672e-05,7.007363105770515e-05
2018-01-22,2.1720729287460244e-05,6.13325073310383e-05,5.87174802397238e-05
2018-01-23,1.801676577973702e-05,7.106110895462298e-05,6.3967629571263e-05
2018-01-24,4.873638032712796e-05,6.797502030822018e-05,6.18523514794377e-05
2018-01-25,1.700028561254189e-05,9.543299835164527e-05,7.742587888587316e-05
2018-01-26,1.6965407689955327e-05,6.737008639303822e-05,6.21391337745534e-05
2018-01-29,3.372560387147237e-05,6.691894051309626e-05,6.195211133261079e-05
2018-01-30,2.116382897392532e-05,8.213928469933463e-05,7.04034973308463e-05
2018-01-31,6.53320995001469e-05,7.094752510890011e-05,6.474887646078359e-05
2018-02-01,5.88766655666436e-05,0.00011039062509177612,8.640121615970307e-05
2018-02-02,6.214194119326138e-05,0.00010412477108750467,8.423818995579249e-05
2018-02-05,0.0003926124063844,0.00010624417461912466,8.685617045578593e-05
2018-02-06,7.59109023713185e-05,0.0002767515059336535,0.00023242338794248512
2018-02-07,0.0001090139747284,0.00011354568237103711,0.00010873220854920983
2018-02-08,0.0002362897442452,0.00014299311063942265,0.00012767249351871112
2018-02-09,8.261966598001235e-05,0.00025586881493164514,0.00019754154855237586
2018-02-12,7.185279497070552e-05,0.00011710357612029492,0.00012259267591998216
2018-02-13,0.0001564042381885,0.0001143029940153654,0.00011189238492765826
2018-02-14,6.827625842097607e-05,0.00018994237413819354,0.00015783071570592798
